,smiles,cas
diol_1,C1CC2C3CC(C2C1CO)CC3CO,26896-48-0
diol_2,C1CC(CCC1CO)CO,105-08-8
diol_3,CC(C)(C1CCC(CC1)O)C2CCC(CC2)O,80-04-6
diol_4,CCCCC(CC)(CO)CO,115-84-4
diol_5,CC(C)C(C(C)(C)CO)O,144-19-4
diol_7,CC(C)(CO)CO,126-30-7
diol_8,CC(C)CC(C)(C#CC(C)(CC(C)C)O)O,126-86-3
diol_9,CC(C)CC(C)(C#CC(C)(CC(C)C)O)O,126-86-3
diol_10,C(C(C(C(CO)O)O)O)O,87-99-0
diol_11,C1CCC(C(C1)O)O,931-17-9
diol_12,CCC(CC(CC)CO)CO,57987-55-0
diol_14,CC(CO)O,57-55-6
