,C,CH,CH2,CH3,C-ring,CH-ring,CH2-ring,C=C,C#C,Ar,OH,C-O-C,CHO,CO,COOR,M,COOH,measured_st,molecule,density
35,0.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.216,0.0,24.4,"1,2-Dimethylcyclohexane",0.7760100000000001
36,0.0,0.0,2.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.24300000000001,0.0,25.8,Propylcyclohexane,0.7898
37,0.0,1.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.243,0.0,26.0,Isopropylcyclohexane,0.8023
38,0.0,0.0,3.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.27,0.0,26.5,Butylcyclohexane,0.8178
39,0.0,1.0,1.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.26999999999998,0.0,25.3,Isobutylcyclohexane,0.795
40,1.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.26999999999998,0.0,26.2,tert-Butylcyclohexane,0.8126
41,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.254,0.0,30.6,Decalin,0.8969
42,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.119,0.0,22.0,Cyclopentene,0.772
43,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.146,0.0,23.8,Methylenecyclopentane,0.7806
44,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.14600000000002,0.0,22.1,3-Methylcyclopentene,0.7638
45,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.146,0.0,26.1,Cyclohexene,0.8098
46,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.173,0.0,26.0,1-Methylcyclohex-1-ene,0.8109999999999999
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,78.11399999999999,0.0,28.2,Benzene,0.879
48,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,92.14099999999999,0.0,28.0,Toluene,0.8655
